BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
46.0	6.896	6.894	0.784	1.704	5.817	6.131	5.799	6.206	0	0	0	0	0	0	0	0	100.0
46.25	6.93	6.934	0.79	1.709	5.853	6.163	5.834	6.245	0	0	0	0	0	0	0	0	100.0
46.5	6.969	6.97	0.792	1.721	5.881	6.197	5.863	6.279	0	0	0	0	0	0	0	0	100.0
46.75	7.006	7.007	0.797	1.733	5.989	6.229	5.894	6.308	0	0	0	0	0	0	0	0	100.0
47.0	7.043	7.044	0.802	1.739	6.024	6.262	5.926	6.342	0	0	0	0	0	0	0	0	100.0
47.25	7.079	7.082	0.806	1.75	6.058	6.298	5.959	6.381	0	0	0	0	0	0	0	0	100.0
47.5	7.118	7.119	0.811	1.758	6.091	6.331	5.992	6.411	0	0	0	0	0	0	0	0	100.0
47.75	7.158	7.156	0.817	1.768	6.122	6.366	6.024	6.445	0	0	0	0	0	0	0	0	100.0
48.0	7.191	7.194	0.818	1.774	6.157	6.424	6.056	6.49	0	0	0	0	0	0	0	0	100.0
48.25	7.234	7.232	0.825	1.788	6.191	6.463	6.087	6.528	0	0	0	0	0	0	0	0	100.0
48.5	7.267	7.268	0.828	1.794	6.226	6.5	6.119	6.56	0	0	0	0	0	0	0	0	100.0
48.75	7.304	7.308	0.834	1.805	6.255	6.534	6.151	6.611	0	0	0	0	0	0	0	0	100.0
49.0	7.341	7.342	0.839	1.817	6.289	6.566	6.186	6.67	0	0	0	0	0	0	0	0	100.0
49.25	7.379	7.38	0.84	1.821	6.381	6.602	6.214	6.706	0	0	0	0	0	0	0	0	100.0
49.5	7.418	7.422	0.848	1.831	6.433	6.632	6.249	6.743	0	0	0	0	0	0	0	0	100.0
49.75	7.457	7.456	0.853	1.838	6.465	6.669	6.278	6.807	0	0	0	0	0	0	0	0	100.0
50.0	7.495	7.493	0.856	1.851	6.497	6.702	6.314	6.845	0	0	0	0	0	0	0	0	100.0
